x, Wbudowana, Moja, Blad bezwzgledny, Blad wzgledny
-3.951000, -0.63648131398293772421, -0.63648131398293775023, 0.00000000000000002602, 0.00000000000000004088
-3.950000, -0.63703920289159954304, -0.63703920289159960322, 0.00000000000000006017, 0.00000000000000009446
-3.949000, -0.63759622625275991226, -0.63759622625275977944, 0.00000000000000013281, 0.00000000000000020831
-3.948000, -0.63815238417335673482, -0.63815238417335666847, 0.00000000000000006635, 0.00000000000000010398
-3.947000, -0.63870767676312012462, -0.63870767676312015790, 0.00000000000000003329, 0.00000000000000005211
-3.946000, -0.63926210413456474591, -0.63926210413456481031, 0.00000000000000006440, 0.00000000000000010074
-3.945000, -0.63981566640298315196, -0.63981566640298301931, 0.00000000000000013265, 0.00000000000000020733
-3.944000, -0.64036836368643823558, -0.64036836368643815042, 0.00000000000000008516, 0.00000000000000013299
-3.943000, -0.64092019610575767796, -0.64092019610575766826, 0.00000000000000000970, 0.00000000000000001514
-3.942000, -0.64147116378452617713, -0.64147116378452624153, 0.00000000000000006440, 0.00000000000000010040
-3.941000, -0.64202126684907889764, -0.64202126684907883492, 0.00000000000000006272, 0.00000000000000009769
-3.940000, -0.64257050542849392105, -0.64257050542849378612, 0.00000000000000013493, 0.00000000000000020998
-3.939000, -0.64311887965458591765, -0.64311887965458586198, 0.00000000000000005567, 0.00000000000000008657
-3.938000, -0.64366638966189926307, -0.64366638966189930205, 0.00000000000000003898, 0.00000000000000006055
-3.937000, -0.64421303558770093289, -0.64421303558770084567, 0.00000000000000008722, 0.00000000000000013540
-3.936000, -0.64475881757197284205, -0.64475881757197274149, 0.00000000000000010056, 0.00000000000000015596
-3.935000, -0.64530373575740573866, -0.64530373575740574012, 0.00000000000000000146, 0.00000000000000000227
-3.934000, -0.64584779028939198753, -0.64584779028939207784, 0.00000000000000009031, 0.00000000000000013984
-3.933000, -0.64639098131601857578, -0.64639098131601843152, 0.00000000000000014425, 0.00000000000000022317
-3.932000, -0.64693330898805889717, -0.64693330898805887202, 0.00000000000000002515, 0.00000000000000003888
-3.931000, -0.64747477345896786716, -0.64747477345896779316, 0.00000000000000007400, 0.00000000000000011429
-3.930000, -0.64801537488487281902, -0.64801537488487282791, 0.00000000000000000889, 0.00000000000000001372
-3.929000, -0.64855511342456795276, -0.64855511342456774709, 0.00000000000000020567, 0.00000000000000031713
-3.928000, -0.64909398923950534233, -0.64909398923950534574, 0.00000000000000000342, 0.00000000000000000526
-3.927000, -0.64963200249379038365, -0.64963200249379031355, 0.00000000000000007009, 0.00000000000000010790
-3.926000, -0.65016915335417202471, -0.65016915335417208743, 0.00000000000000006272, 0.00000000000000009647
-3.925000, -0.65070544199003776953, -0.65070544199003769201, 0.00000000000000007752, 0.00000000000000011913
-3.924000, -0.65124086857340457435, -0.65124086857340456394, 0.00000000000000001041, 0.00000000000000001598
-3.923000, -0.65177543327891329650, -0.65177543327891336047, 0.00000000000000006397, 0.00000000000000009814
-3.922000, -0.65230913628382070080, -0.65230913628382075474, 0.00000000000000005394, 0.00000000000000008269
-3.921000, -0.65284197776799235413, -0.65284197776799221671, 0.00000000000000013742, 0.00000000000000021050
-3.920000, -0.65337395791389485389, -0.65337395791389477377, 0.00000000000000008012, 0.00000000000000012263
-3.919000, -0.65390507690658972173, -0.65390507690658976754, 0.00000000000000004581, 0.00000000000000007005
-3.918000, -0.65443533493372540999, -0.65443533493372558362, 0.00000000000000017363, 0.00000000000000026532
